Product Name,Price (PKR),Product Link,Image URL
medicine,N/A,https://www.dvago.pk/p/hcq-tablets-200-mg-30s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F565%2F03738.webp&w=1920&q=50
health care,N/A,https://www.dvago.pk/p/novofine-needles-31g-6mm-100s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F11150.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/meiji-lactoless-powdered-milk-350g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F09356-1.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/senior-pull-up-adult-diapers-large-10-count,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F15662.jpg&w=1920&q=50
health care,N/A,https://www.dvago.pk/p/cac-1000-plus-tablets-cola-10s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F14783.webp&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/smecta-powd-30s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F03350.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/meiji-fu-follow-up-formula-powdered-milk-900g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2Fdvago-products-images%2Fmeiji-fu-follow-up-formula-powdered-milk-900g.webp&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/osmolar-powd-20s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F03449.jpg&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/calcite-600mg-tablets-30s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F10940.JPG&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/cow-and-gate-step-up-stage-3-powdered-milk-400g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F20391.png&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/nan-3-300gs,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F20688.jpg&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/gouric-tablets-40-mg-20s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F565%2F04560.webp&w=1920&q=50
health care,N/A,https://www.dvago.pk/p/abbot-freestyle-optium-50-strips,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F11219.jpg&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/indrop-d-soft-gel-capsules-1s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F565%2F11820.webp&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/priorin-capsules-60s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F13621.webp&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/sensodyne-rapid-action-100gm,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F02524.webp&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/sensodyne-gum-care-soft-brush,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F13125.webp&w=1920&q=50
