Title,Price,Old Price,Discount,Image URL
Multifunctional Portable Emergency Flashlight LED 3W Emergency Torch Light,Rs. 949,"Rs. 1,299",27%,https://www.hamzastore.pk/images/product_gallery/md_1727106476_download_7_eaa64725-5d62-4fba-ad3f-04849365dec7.jpg
Screwdriver 8 in 1 Multi-Function Screwdriver Kit,Rs. 750,Rs. 999,25%,https://www.hamzastore.pk/images/product_gallery/md_1725448352_WhatsApp_Image_2024-09-02_at_21_48_18_02ab671b.jpg
Aiwa 40 Piece Toolkit Tool Kit,"Rs. 1,799","Rs. 2,309",18%,https://www.hamzastore.pk/images/product_gallery/md_1686999254_aiwa.jpg
New Cordless Portable High Pressure Electric Car Washer Gun With 24V 2 Rechargeable Battery Power Car Wash Foam Gun,"Rs. 19,677","Rs. 26,115",25%,https://www.hamzastore.pk/images/product_gallery/md_1684408743_WhatsApp_Image_2023-05-18_at_2_34_38_PM.jpeg
New Waterproof Anti Theft Laptop / Accessories Backpack,"Rs. 4,339","Rs. 5,612",23%,https://www.hamzastore.pk/images/product_gallery/md_1677769013_sfvdfvxc.jpg
18 In 1 Snowflake Stainless Steel Multi-Tool Keychain,Rs. 449,Rs. 699,55%,https://www.hamzastore.pk/images/product_gallery/md_1657580177.jpg
Folding Grill For Fish,Rs. 899,"Rs. 1,199",25%,https://www.hamzastore.pk/images/product_gallery/1721312728_FOLDING-GRILL-FOR-FISH-2.webp
New BBQ Grill,Rs. 999,"Rs. 1,299",23%,https://www.hamzastore.pk/images/product_gallery/md_1719564139_6fc652a1497068914278e6da101a3298.jpg
(Pack Of 6) 29cm Reusable Flat Barbecue Stainless Steel Skewers Set,Rs. 749,Rs. 999,25%,https://www.hamzastore.pk/images/product_gallery/md_1718925368_1718044727_Stainless_Steel_Skewers____.jpg
BBQ Meat Skewer Kebab Maker,Rs. 849,Rs. 999,15%,https://www.hamzastore.pk/images/product_gallery/md_1718655514_1717578718_BBQ_Skewe_1.jpg
Open Face Bar B Que Grill,"Rs. 9,999","Rs. 12,499",20%,https://www.hamzastore.pk/images/product_gallery/1718370948_Open-Face-Football-Bar-B-Que-Grill.webp
New Portable New Box Style Grill,"Rs. 6,999","Rs. 8,999",22%,https://www.hamzastore.pk/images/product_gallery/1718370817_Portable-New-Box-Style-Grill.webp
"EMS Mini Portable Electric Neck, Back & Body Pain Relief Massager",Rs. 349,Rs. 499,30%,https://www.hamzastore.pk/images/product_gallery/md_1719927467_1719581838_61f2dkwHbxL__SX679_.jpg
New LED Ceiling Fan Light With Remote,"Rs. 4,799","Rs. 5,699",16%,https://www.hamzastore.pk/images/product_gallery/md_1719505973_6686a1e1c980047a97c176829e3680cc.jpg
New Massage Slippers,"Rs. 2,249","Rs. 2,999",25%,https://www.hamzastore.pk/images/product_gallery/md_1719503814_images_(7).jpeg
Universal USB LED Car Atmosphere Starry Laser Projection Light Auto Interior Decorative Light,Rs. 699,Rs. 999,30%,https://www.hamzastore.pk/images/product_gallery/1718737761_Universal-USB-LED-Car-Atmosphere-Starry-Laser-Projection-Light-Auto-Interior-Decorative-Light-4.webp
Multipurpose Automotive Pocket Organizer Bag For Mobile Phone Holder Visor Box,Rs. 399,Rs. 549,27%,https://www.hamzastore.pk/images/product_gallery/1718654156_Automotive-Pocket-Organizer-Bag-For-Mobile-Phone-Holder-Visor-Box-1.webp
Medicated Plantar Insoles,Rs. 999,"Rs. 1,499",33%,https://www.hamzastore.pk/images/product_gallery/md_1718455126_medicated-soles-2-600x600.jpg
HGKJ-11 Car Paint Scratch Repair Remover Agent Coating Maintenance Accessories,Rs. 799,Rs. 999,20%,https://www.hamzastore.pk/images/product_gallery/md_1725112583_2_720x720-overlay_720x720_4ae45acb-64b8-4855-b369-0189a12c021d.jpeg
Tool You Can Trust! 24 Pcs of Socket and Bits Set,"Rs. 1,599","Rs. 1,999",20%,https://www.hamzastore.pk/images/product_gallery/md_1725029996_e1f1d4166d9d532089c46bae45c47f0c.jpg
HD Visor Day & Night Visor Sun Visor Shade,"Rs. 1,299","Rs. 1,499",13%,https://www.hamzastore.pk/images/product_gallery/md_1724837178_252b7cd3-f353-4848-984c-fc4a94064c41.png
